,hhid,hhwgt,urban,inc_employ,inc_commerce,inc_subsist,inc_remit,inc_transfer,inc_gift,inc_rent,inc_total,food_cons,total_cons,poor_nat,poor_190,poor_320,poor_550,dep_water,dep_san,dep_ele,dep_enroll,dep_attain,hhsize,number_of_children,pcexp,pcinc,ispoor,hoh_mainactivity,hoh_education,hhinc_mainsource_all,hhinc_mainsource_wage_other,inc_nonwage,pcwgt,pov_line
57,00-82-80-16,270.4022521972656,0,6902.8212890625,0.0,161.06582641601562,7221.41357421875,6144.39599609375,0.0,5401.3291015625,25831.02734375,3552.421875,15046.0,0,0,0,1,0,0,0,0,0,9,2,1671.7777777777778,2870.1141493055557,0,Not working,At least some secondary completion,inc_remit,other,18928.204498291016,2433.6202697753906,2179
58,00-84-67-55,107.71725463867188,1,28382.498046875,0.0,0.0,0.0,8385.0185546875,1645.3621826171875,2882.825927734375,41295.70703125,4632.72314453125,13350.5712890625,0,0,0,0,0,0,0,0,0,4,1,3337.642822265625,10323.9267578125,0,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,12913.206665039062,430.8690185546875,2179
59,00-87-47-73,252.95361328125,0,21299.134765625,0.0,0.0,8484.52734375,1708.3270263671875,399.8333435058594,3714.15673828125,35605.98046875,3063.762939453125,8256.6123046875,1,0,0,1,0,0,0,0,0,7,2,1179.5160435267858,5086.568638392857,0,Not working,Post-secondary/tertiary and above,inc_employ,inc_employ,14306.844451904297,1770.67529296875,2179
60,00-87-70-58,268.69097900390625,0,0.0,2465.70068359375,2041.96533203125,0.0,1316.8668212890625,1216.868896484375,586.9254150390625,7628.3271484375,4881.7216796875,8178.1298828125,1,0,1,1,0,0,0,0,0,8,5,1022.2662353515625,953.5408935546875,1,Not working,Primary completion and below,inc_commerce,other,7628.3271484375,2149.52783203125,2179
61,00-87-84-75,101.18678283691406,0,0.0,23095.01171875,1638.321044921875,0.0,0.0,1669.18798828125,830.9247436523438,27233.447265625,4403.28466796875,6272.6689453125,0,0,0,0,0,0,1,0,0,2,1,3136.33447265625,13616.7236328125,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,27233.44549560547,202.37356567382812,2179
62,00-89-72-60,170.50149536132812,0,4755.81640625,297.238525390625,3852.211669921875,0.0,137.18701171875,4312.33642578125,1188.89501953125,14543.685546875,9872.361328125,12897.0390625,0,0,0,0,0,0,0,0,0,4,1,3224.259765625,3635.92138671875,0,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,9787.86865234375,682.0059814453125,2179
63,00-91-44-55,187.84246826171875,0,5522.08056640625,0.0,345.44268798828125,156.3089141845703,323.5594482421875,0.0,3322.27734375,9669.6689453125,2031.9375,7836.01171875,0,0,0,1,0,0,0,0,0,6,4,1306.001953125,1611.6114908854167,1,Wage employment,At least some secondary completion,inc_employ,inc_employ,4147.588394165039,1127.0548095703125,2179
64,00-91-48-30,226.8289794921875,1,12930.0791015625,0.0,0.0,2040.8819580078125,327.4903869628906,0.0,4485.1435546875,19783.595703125,4151.8662109375,12418.703125,0,0,0,0,0,0,0,0,0,6,4,2069.7838541666665,3297.2659505208335,0,Not working,At least some secondary completion,inc_employ,inc_employ,6853.515899658203,1360.973876953125,2179
65,00-92-25-79,48.24836730957031,0,0.0,0.0,0.0,4811.19287109375,1010.3505249023438,0.0,2683.355712890625,8504.8994140625,987.883056640625,4877.32958984375,0,0,0,0,0,0,0,0,0,1,0,4877.32958984375,8504.8994140625,0,Not working,At least some secondary completion,inc_remit,other,8504.899108886719,48.24836730957031,2179
66,00-93-70-83,256.06451416015625,0,0.0,9130.609375,735.73095703125,0.0,0.0,0.0,1460.0023193359375,11326.3427734375,1956.5538330078125,4761.78271484375,1,0,1,1,0,0,0,0,0,6,4,793.6304524739584,1887.7237955729167,1,Self employment/subsistence,At least some secondary completion,inc_commerce,other,11326.342651367188,1536.3870849609375,2179
67,00-94-49-75,106.31159973144531,1,9949.5234375,0.0,0.0,14044.1328125,316.85406494140625,756.1637573242188,0.0,25066.673828125,2651.746826171875,12489.6162109375,0,0,0,0,0,0,0,0,0,4,2,3122.404052734375,6266.66845703125,0,Wage employment,At least some secondary completion,inc_remit,other,15117.150634765625,425.24639892578125,2179
68,00-95-37-02,165.226318359375,1,21059.74609375,0.0,5192.8720703125,407.6037902832031,1144.469970703125,525.6458129882812,2047.8306884765625,30378.16796875,11149.1298828125,17267.939453125,0,0,0,0,0,0,0,0,0,7,1,2466.8484933035716,4339.73828125,0,Self employment/subsistence,At least some secondary completion,inc_employ,inc_employ,9318.422332763672,1156.584228515625,2179
69,00-96-45-87,78.43917083740234,0,0.0,5397.6240234375,1666.9027099609375,0.0,0.0,0.0,591.8943481445312,7656.4208984375,3408.02001953125,5366.59716796875,0,0,0,1,0,0,0,0,1,3,0,1788.86572265625,2552.1402994791665,0,Self employment/subsistence,Primary completion and below,inc_commerce,other,7656.421081542969,235.31751251220703,2179
70,00-98-40-01,152.79721069335938,1,0.0,0.0,0.0,65412.2890625,751.4625244140625,0.0,0.0,66163.75,6476.09716796875,26170.955078125,0,0,0,0,0,0,0,0,0,4,3,6542.73876953125,16540.9375,0,Self employment/subsistence,Post-secondary/tertiary and above,inc_remit,other,66163.75158691406,611.1888427734375,2179
71,00-99-39-92,105.8357162475586,0,0.0,11331.630859375,7396.1884765625,0.0,410.9501037597656,4660.90478515625,361.126953125,24160.798828125,5861.2880859375,8841.712890625,0,0,0,0,0,0,0,0,0,3,1,2947.2376302083335,8053.599609375,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,24160.801177978516,317.5071487426758,2179
72,01-11-34-97,169.27444458007812,1,38847.92578125,0.0,0.0,0.0,112.3638687133789,0.0,0.0,38960.28515625,6078.07470703125,16697.02734375,0,0,0,0,0,0,0,0,0,3,1,5565.67578125,12986.76171875,0,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,112.3638687133789,507.8233337402344,2179
73,01-12-41-60,156.39151000976562,0,9475.7587890625,0.0,0.0,0.0,855.6704711914062,0.0,899.4067993164062,11230.8369140625,1394.54150390625,4505.70166015625,1,0,1,1,0,0,0,0,0,5,3,901.14033203125,2246.1673828125,0,Wage employment,At least some secondary completion,inc_employ,inc_employ,1755.0772705078125,781.9575500488281,2179
74,01-14-91-89,152.7779998779297,1,0.0,20646.966796875,0.0,0.0,508.80023193359375,0.0,0.0,21155.767578125,3100.35498046875,13845.8388671875,0,0,0,0,0,0,0,0,0,5,3,2769.1677734375,4231.153515625,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,21155.767028808594,763.8899993896484,2179
